Book Code,Book Name,Authors Name,Issue Year
202201,‘The India Story’,Bimal Jalal,2022
202202,‘Listen to Your Heart: The London Adventure’,Ruskin Bond,2022
202203,‘Business of Sports: The Winning Formula for Success’,Vinit Karnik,2022
202204,‘A Place Called Home’,Preeti Shenoy,2022
202205,‘Modi @20: Dreams Meeting Delivery’,VP Venkaiah Naidu,2022
202206,'The Struggle for Police Reforms in India',Ex-IPS Prakash Singh,2022
202207,‘INDO-PAK WAR 1971- Reminiscences of Air Warriors’,Rajnath Singh,2022
202208,"‘Leaders, Politicians, Citizens’",Rasheed Kidwai ,2022
202209,‘Birsa Munda – Janjatiya Nayak’,Prof. Alok Chakrawal,2022
202210,Lal Salam,Smriti Irani,2022
202211,"Pride, Prejudice and Punditry",Shashi Tharoor,2022
202212,“Crunch Time: Narendra Modi’s National Security Crises”,Dr Sreeram Chauliahas,2022
202213,“Queen of Fire”,Devika Rangachari,2022
202214,“Birsa Munda – Janjatiya Nayak”,Dharmendra Pradhan,2022
202215,“Decoding Indian Babudom”,Ashwini Shrivastava,2022
202216,‘The Maverick Effect’,Harish Mehta,2022
202217,"“Tiger of Drass: Capt. Anuj Nayyar, 23, Kargil Hero”",Meena Nayyar & Himmat Singh Shekhawat,2022
202218,‘Hear Yourself’,Indian Author Prem Rawat,2022
202219,‘Not Just A Nightwatchman: My Innings with BCCI’,Former CAG Vinod Rai,2022
202220,“The Boy Who Wrote a Constitution ”,Rajesh Talwar,2022
202221,“The Magic of Mangalajodi” & “My Research Works on Sikh History and Philosophy”,Avinash Khemka & Abinash Mahapatra,2022
202222,‘Chinese Spies: From Chairman Mao to Xi Jinping’,Roger Faligot,2022
202223,'Amit Shah Ani Bhajapachi Vatchal',Dr Anirban Ganguly and Shiwanand Dwivedi,2022
202224,‘The Millennial Yogi: A modern-day parable about reclaiming one’s life’,"Former Indian Army Captain, Deepam Chatterjee",2022
202225,‘Udaan Ek Majdoor Bachhe Ki’,Mithilesh Tiwari,2022
202226,Ungalil Oruvan (One Among You),Chief minister MK Stalin’s,2022
202227,‘The Queen of Indian Pop: The Authorised Biography of Usha Uthup’,Vikas Kumar Jha,2022
202228,‘The Blue Book: A Writer’s Journal,Amitava Kumar,2022
202229,‘Role of Labour in India’s Development’,Labour Minister Bhupendra Yadav,2022
202230,‘Soli Sorabjee: Life and Times’,Abhinav Chandrachud,2022
202231,‘The Queen of Indian Pop’,Usha Uthup,2022
202232,‘On Board: My Years in BCCI’,Ratnakar Shetty’s,2022
202233,'Tomb of Sand',Geetanjali Shree’s,2022
202234,‘Monsoon’,Sahitya Akademi,2022
202235,‘More than Just Surgery: Life Lessons Beyond the OT’,Dr Tehemton Erach Udwadia,2022
202236,‘Wrist Assured: An Autobiography’,Former Cricketer G.R. Viswanath,2022
202237,‘Unfilled Barrels India’s oil story’,Richa Mishra,2022
202238,‘The Little Book of Joy’,Dalai Lama & Desmond Tutu,2022
202239,‘Spoorthi Pradatha Sri Somayya’,K Syam Prasad,2022
202240,‘Fearless Governance’,Dr. Kiran Bedi,2022
202241,‘Operation Khatma’ ,RC Ganjoo and Ashwini Bhatnagar,2022
202242,"‘India, That is Bharat: Coloniality, Civilisation, Constitution’",J Sai Deepak,2022
202243,‘Golden Boy Neeraj Chopra’,Navdeep Singh Gill,2022
202244,‘Atal Bihari Vajpayee’,Sagarika Ghose,2022
202245,‘India–Africa Relations: Changing Horizons’,Rajiv Bhatia,2022
202246,‘How to Prevent the Next Pandemic’,Bill Gates,2022
202247,‘Humane: How the United States Abandoned Peace and Reinvented War’,Samuel Moyn,2022
202248,‘Dignity in a Digital Age: Making Tech Work for All of Us’,Ro Khanna,2022
202249,‘A History of Sriniketan: Rabindranath Tagore’s Pioneering Work in Rural Construction’,Uma Das Gupta,2022
202250,‘A Nation To Protect’,Priyam Gandhi Mody,2022
202251,‘The Founders: The Story of Paypal and the Entrepreneurs Who Shaped Silicon Valley’,Jimmy Soni,2022
202252,‘The Great Tech Game: Shaping Geopolitics and the Destinies of Nations’,Anirudh Suri,2022
202253,‘Gandhi’s Assassin: The Making of Nathuram Godse and His Idea of India.,Dhirendra K. Jha,2022
202254,‘Mamata: Beyond 2021’,Jayanta Ghosal,2022
202255,‘Ratan N. Tata: The Authorized Biography’,Dr. Thomas Matthew,2022
202256,"‘Indomitable: A Working Woman’s Notes on Life, Work, and Leadership’",Arundhati Bhattacharya,2022
202257,‘Bose: The untold story of an inconvenient nationalist’,Chandrachur Ghose,2022
202258,'The Legend of Birsa Munda',Tuhin A Sinha and Ankita Verma,2022
202259,‘India’s Women Unsung Heroes’,Meenakshi Lekhi,2022
202260,‘A Little Book of India: Celebrating 75 years of Independence’,Ruskin Bond,2022
202261,‘The $10 Trillion Dream’,Subhash Chandra Garg,2022
